anonymous_id,durability_triggers,durability_class,channel_memberships,u01_score,u02_score,u03_score,u04_score,u05_score,interface_requirements,arrangement_scales,input_residual,trace_basis
X063,D01;D02;D03;D04;D05,D3,U01;U02,16,14,3,1,5,X01;X02;X04,S01;S02;S03;S04,no,U01=consequence:inquiry_discrimination+consequence:meaning_truth+dependency:accepted_meaning+dependency:evaluation_discrimination+dependency:realised_orientation+endpoint:inquiry_discrimination+endpoint:meaning_truth+evaluator:skilled_peer+evidence_req:competence_peer_review+expression:language_representation+operation:inquiry_discrimination | U02=consequence:reciprocal_relation+continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+endpoint:reciprocal_relation+locus:relational+operation:reciprocal_relation
X064,D01;D02;D03;D05,D3,U01,25,2,0,1,2,X01;X04,S01;S02;S03,yes,U01=consequence:communication_representation+consequence:meaning_truth+continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:accepted_meaning+dependency:contemplative_design+development:open_inquiry+endpoint:communication_representation+endpoint:meaning_truth+evaluator:skilled_peer+evidence_req:competence_peer_review+expression:consequence_visibility+expression:language_representation+locus:sentient_inward+operation:communication_representation+operation:meaning_truth
X065,D01;D02;D03;D04;D05,D3,U02,1,22,2,2,9,X02;X04,S01;S02;S03;S04,no,U02=consequence:justice_protection+consequence:reciprocal_relation+continuity:relational_memory_repair+correction:dialogue_changed_fulfilment+correction:protection_appeal+counterpart:direct+counterpart:durable+dependency:relational_feedback+endpoint:justice_protection+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment+locus:relational+operation:reciprocal_relation
X066,D01;D02;D03;D04;D05,D3,U01,20,7,1,8,3,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=consequence:meaning_truth+continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:accepted_meaning+development:feedback_critique+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth
X067,D01;D02;D03;D04;D05,D3,U02,16,23,2,2,8,X02;X04,S02;S03,yes,U02=consequence:care_development+consequence:reciprocal_relation+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:noncoercive_agency+development:relational_experience+endpoint:care_development+endpoint:reciprocal_relation+expression:counterpart_participation+locus:relational+operation:care_development
X068,D01;D02;D03;D04;D05,D3,U02,4,17,2,0,9,X02;X04,S01;S02;S03;S04,no,U02=consequence:reciprocal_relation+continuity:relational_memory_repair+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation+locus:relational
X069,D01;D02;D03;D04;D05,D3,U02,11,29,1,0,8,X01;X02;X04,S01;S02;S03;S04,yes,U02=consequence:care_development+consequence:reciprocal_relation+continuity:care_succession_agency+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:noncoercive_agency+development:relational_experience+endpoint:care_development+endpoint:reciprocal_relation+evaluator:affected_party+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+locus:relational+operation:care_development+operation:reciprocal_relation
X070,D01;D02;D03;D04;D05,D3,U02,6,15,1,9,13,X01;X02;X03;X04;X05,S01;S02;S03;S04;S05,no,U02=continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+counterpart:durable+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X071,D01;D02;D03;D04;D05,D3,U02;U04,11,12,1,16,10,X02;X03;X04,S02;S03;S04,no,U02=continuity:care_succession_agency+correction:protection_appeal+correction:repair_restitution+counterpart:direct+development:noncoercive_agency+evaluator:affected_party+evidence_req:affected_party_voice+locus:relational | U04=consequence:material_provision+continuity:skill_tools_maintenance+correction:redesign_procedure+correction:retraining_changed_means+counterpart:material_ecological+development:practice_skill+endpoint:material_provision+endpoint:skill_design+evidence_req:bodily_material_effect+false_positive:output_efficiency_proxy
X072,D01;D02;D03;D04;D05,D3,U02,2,23,1,3,7,X02;X04,S01;S02;S03;S04,no,U02=consequence:reciprocal_relation+continuity:care_succession_agency+continuity:public_review_dissent+continuity:relational_memory_repair+correction:dialogue_changed_fulfilment+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation+locus:relational
X073,D01;D02;D03;D04;D05,D3,U04,0,7,2,14,6,X03;X04;X05,S01;S02;S03;S04;S05,no,U04=consequence:material_provision+continuity:skill_tools_maintenance+counterpart:material_ecological+endpoint:ecological_continuity+endpoint:material_provision+evaluator:future_ecological+evidence_req:long_horizon_effect+expression:material_means+operation:material_provision
X074,D01;D02;D03;D04;D05,D3,U04,6,10,1,28,16,X01;X02;X03;X04;X05,S01;S02;S03;S04;S05,no,U04=consequence:ecological_continuity+consequence:material_provision+continuity:ecological_regeneration+continuity:skill_tools_maintenance+correction:redesign_procedure+correction:retraining_changed_means+counterpart:material_ecological+development:material_access+development:practice_skill+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:skilled_peer+expression:material_means+false_positive:harm_displacement_proxy+false_positive:output_efficiency_proxy+locus:material_ecological+operation:material_provision
X075,D01;D02;D03;D04;D05,D3,U03;U04,8,9,13,14,4,X01;X02;X03;X04,S01;S02;S04;S05,no,U03=consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+locus:embodied_person+operation:bodily_health | U04=consequence:material_provision+continuity:skill_tools_maintenance+counterpart:material_ecological+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+false_positive:output_efficiency_proxy+locus:material_ecological
X076,D01;D02;D03;D04;D05,D3,U03,8,9,13,5,5,X01;X03;X04,S01;S02;S03;S04,no,U03=consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:bodily_health+expression:embodied_capability+false_positive:material_sensory_proxy+locus:embodied_person+operation:bodily_health
X077,D01;D02;D03;D04;D05,D3,U03,10,7,15,5,3,X01;X02;X03;X04;X05,S01;S02,no,U03=consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+false_positive:material_sensory_proxy+false_positive:short_term_satisfaction_proxy+locus:embodied_person+operation:bodily_health
X078,D01;D02;D03;D04;D05,D3,U01;U02,9,10,1,4,6,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=continuity:intergenerational_transmission+dependency:accepted_meaning+development:open_inquiry+evaluator:first_person+evidence_req:self_noncontradiction+expression:language_representation+locus:sentient_inward | U02=correction:repair_restitution+counterpart:direct+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:timing_discretion
X079,D02;D03;D04,D2,U01,12,6,1,2,1,X01;X03,S01;S02,yes,U01=consequence:communication_representation+dependency:contemplative_design+dependency:realised_orientation+development:feedback_critique+endpoint:communication_representation+expression:language_representation+locus:sentient_inward+operation:communication_representation
X080,D02;D03,D1,U01;U02;U03,10,9,10,2,1,X01;X02;X03,S01;S02;S04,yes,U01=consequence:meaning_truth+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+expression:language_representation+locus:sentient_inward+operation:meaning_truth | U02=counterpart:direct+development:noncoercive_agency+development:relational_experience+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment | U03=consequence:bodily_health+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+expression:embodied_capability+locus:embodied_person
X081,D01;D02;D03;D04;D05,D3,U01;U02,11,13,1,0,13,X01;X02;X04,S01;S02;S03;S04,no,U01=consequence:meaning_truth+continuity:inquiry_records_verification+dependency:realised_orientation+endpoint:meaning_truth+expression:consequence_visibility+expression:language_representation+operation:meaning_truth | U02=continuity:public_review_dissent+correction:protection_appeal+counterpart:direct+counterpart:durable+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X082,D01;D02;D03;D04;D05,D3,U01;U02,18,25,1,4,5,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=consequence:communication_representation+consequence:meaning_truth+continuity:intergenerational_transmission+correction:renewed_inquiry+development:open_inquiry+endpoint:communication_representation+endpoint:meaning_truth+expression:language_representation+locus:sentient_inward+operation:communication_representation | U02=consequence:care_development+consequence:justice_protection+consequence:reciprocal_relation+continuity:care_succession_agency+continuity:public_review_dissent+correction:dialogue_changed_fulfilment+correction:protection_appeal+counterpart:direct+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+evaluator:counterpart+expression:counterpart_participation+expression:timing_discretion+locus:relational
X083,D01;D02;D03;D04;D05,D3,U01;U02,22,21,0,5,9,X01;X02;X03;X04,S02;S03;S04,no,U01=consequence:inquiry_discrimination+consequence:meaning_truth+continuity:intergenerational_transmission+correction:renewed_inquiry+dependency:accepted_meaning+development:open_inquiry+endpoint:inquiry_discrimination+endpoint:meaning_truth+evaluator:skilled_peer+evidence_req:competence_peer_review+expression:language_representation+operation:inquiry_discrimination+operation:meaning_truth | U02=consequence:care_development+consequence:reciprocal_relation+continuity:care_succession_agency+continuity:public_review_dissent+correction:protection_appeal+counterpart:direct+counterpart:durable+dependency:relational_feedback+endpoint:care_development+endpoint:reciprocal_relation+evaluator:affected_party+evidence_req:affected_party_voice+expression:timing_discretion+locus:relational
X084,D01;D02;D03;D04;D05,D3,U01;U02;U05,15,13,3,10,11,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=consequence:meaning_truth+continuity:intergenerational_transmission+correction:renewed_inquiry+dependency:accepted_meaning+dependency:realised_orientation+development:feedback_critique+endpoint:meaning_truth+expression:consequence_visibility+operation:meaning_truth | U02=consequence:reciprocal_relation+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation | U05=correction:repair_restitution+counterpart:collective+counterpart:durable+development:continuity_exposure+endpoint:collective_public+evaluator:affected_party+evidence_req:affected_party_voice+expression:consequence_visibility+expression:counterpart_participation
X085,D01;D02;D03;D04;D05,D3,U01,24,14,0,5,8,X01;X02;X03;X04,S02;S03;S04,no,U01=consequence:inquiry_discrimination+consequence:meaning_truth+continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:accepted_meaning+dependency:contemplative_design+development:open_inquiry+endpoint:communication_representation+endpoint:inquiry_discrimination+endpoint:meaning_truth+evaluator:skilled_peer+evidence_req:competence_peer_review+operation:inquiry_discrimination+operation:meaning_truth
X086,D01;D02;D03;D05,D3,U01,21,3,0,3,2,X01;X02;X03;X04,S03;S04,no,U01=consequence:inquiry_discrimination+consequence:meaning_truth+continuity:inquiry_records_verification+continuity:intergenerational_transmission+correction:renewed_inquiry+dependency:accepted_meaning+dependency:contemplative_design+dependency:realised_orientation+development:open_inquiry+endpoint:inquiry_discrimination+endpoint:meaning_truth+operation:meaning_truth
X087,D01;D02;D04;D05,D3,U02,1,20,0,2,5,X02;X04,S02;S03,no,U02=consequence:reciprocal_relation+continuity:relational_memory_repair+correction:protection_appeal+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:noncoercive_agency+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X088,D01;D02;D03;D04;D05,D3,U01;U02;U04;U05,13,11,3,12,10,X01;X02;X04,S01;S02;S03;S04,yes,U01=consequence:meaning_truth+continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:accepted_meaning+development:feedback_critique+endpoint:meaning_truth+operation:meaning_truth | U02=continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+counterpart:durable+development:relational_experience+evaluator:affected_party+evidence_req:affected_party_voice+locus:relational | U04=consequence:material_provision+continuity:skill_tools_maintenance+counterpart:material_ecological+endpoint:material_provision+evaluator:body_material+evidence_req:bodily_material_effect+false_positive:output_efficiency_proxy+operation:material_provision | U05=continuity:public_review_dissent+correction:repair_restitution+counterpart:collective+counterpart:durable+endpoint:collective_public+evaluator:affected_party+evidence_req:affected_party_voice+locus:collective_public
X089,D01;D02;D04;D05,D3,U02,1,19,0,0,4,X02;X04,S02;S03,no,U02=consequence:reciprocal_relation+continuity:relational_memory_repair+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:noncoercive_agency+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation+locus:relational
X090,D01;D02;D03;D04;D05,D3,U02;U04;U05,9,14,1,16,17,X02;X03;X04;X05,S01;S02;S03;S04;S05,yes,U02=consequence:care_development+continuity:care_succession_agency+counterpart:direct+counterpart:durable+development:relational_experience+endpoint:care_development+evaluator:affected_party+evidence_req:affected_party_voice+expression:counterpart_participation+locus:relational | U04=consequence:material_provision+continuity:ecological_regeneration+continuity:skill_tools_maintenance+correction:ecological_restoration+counterpart:material_ecological+development:practice_skill+endpoint:material_provision+evidence_req:long_horizon_effect+expression:material_means+operation:material_provision | U05=consequence:continuity_transmission+continuity:ecological_regeneration+continuity:reserve_reliable_provision+correction:ecological_restoration+counterpart:collective+counterpart:durable+endpoint:collective_public+endpoint:continuity_transmission+evaluator:affected_party+evidence_req:affected_party_voice+evidence_req:long_horizon_effect+expression:counterpart_participation
X091,D01;D02;D03;D04;D05,D3,U01,22,6,2,4,9,X01;X02;X03;X04,S01;S02;S04,yes,U01=consequence:communication_representation+consequence:meaning_truth+dependency:accepted_meaning+dependency:contemplative_design+dependency:realised_orientation+development:feedback_critique+endpoint:communication_representation+endpoint:meaning_truth+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+expression:consequence_visibility+expression:language_representation+locus:sentient_inward+operation:meaning_truth
X092,D01;D02;D03;D05,D3,U01,14,5,0,7,4,X01;X03;X04,S01;S02;S03;S04,yes,U01=continuity:intergenerational_transmission+dependency:accepted_meaning+dependency:contemplative_design+development:feedback_critique+development:open_inquiry+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:meaning_truth
X093,D01;D02;D03;D04;D05,D3,U01;U03;U04,10,1,13,10,3,X01;X03;X04,S01;S04,no,U01=consequence:inquiry_discrimination+dependency:evaluation_discrimination+endpoint:inquiry_discrimination+evaluator:skilled_peer+evidence_req:competence_peer_review+locus:sentient_inward+operation:inquiry_discrimination | U03=consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+expression:embodied_capability+false_positive:material_sensory_proxy+locus:embodied_person | U04=consequence:material_provision+counterpart:material_ecological+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect
X094,D01;D02;D03;D04;D05,D3,U04,10,5,3,19,10,X01;X02;X03;X04;X05,S01;S03;S04;S05,no,U04=consequence:material_provision+continuity:skill_tools_maintenance+counterpart:material_ecological+development:practice_skill+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:future_ecological+evaluator:skilled_peer+evidence_req:bodily_material_effect+evidence_req:long_horizon_effect+expression:material_means+operation:material_provision
X095,D01;D02;D04;D05,D3,U01;U02,12,10,1,0,4,X01;X02;X04;X05,S01;S02;S03,no,U01=correction:renewed_inquiry+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:meaning_truth | U02=continuity:relational_memory_repair+counterpart:direct+development:noncoercive_agency+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X096,D01;D02;D03;D04;D05,D3,U01,14,7,4,5,7,X01;X02;X03;X04;X05,S01;S02;S03;S04,no,U01=consequence:meaning_truth+continuity:intergenerational_transmission+development:feedback_critique+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:meaning_truth
X097,D01;D02;D03;D04;D05,D3,U02,10,21,3,6,10,X01;X02;X03;X04,S02;S03;S04,no,U02=consequence:reciprocal_relation+continuity:public_review_dissent+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+locus:relational+operation:reciprocal_relation
X098,D01;D02;D03;D04;D05,D3,U01;U02;U05,18,18,2,12,13,X01;X02;X03;X04;X05,S01;S02;S03;S04;S05,yes,U01=consequence:meaning_truth+continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:contemplative_design+dependency:realised_orientation+development:feedback_critique+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+operation:meaning_truth | U02=consequence:reciprocal_relation+continuity:public_review_dissent+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:timing_discretion+locus:relational | U05=continuity:public_review_dissent+correction:protection_appeal+correction:repair_restitution+counterpart:collective+counterpart:durable+endpoint:collective_public+endpoint:continuity_transmission+evaluator:affected_party+evidence_req:affected_party_voice+evidence_req:long_horizon_effect
X099,D01;D02;D03;D04;D05,D3,U02,11,29,11,6,4,X01;X02;X03;X04,S02;S03;S04,yes,U02=consequence:care_development+consequence:justice_protection+consequence:reciprocal_relation+continuity:care_succession_agency+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:relational_experience+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+expression:timing_discretion+locus:relational+operation:care_development+operation:justice_protection
X100,D01;D02;D03;D04;D05,D3,U02,2,23,7,8,10,X02;X03;X04,S02;S03;S04;S05,no,U02=consequence:care_development+consequence:reciprocal_relation+continuity:care_succession_agency+correction:repair_restitution+counterpart:direct+counterpart:durable+development:noncoercive_agency+endpoint:care_development+endpoint:reciprocal_relation+evaluator:affected_party+evidence_req:affected_party_voice+expression:counterpart_participation+operation:care_development+operation:reciprocal_relation
X101,D01;D02;D03;D04;D05,D3,U02,11,28,3,6,5,X01;X02;X03;X04,S02;S03;S04,yes,U02=consequence:care_development+consequence:justice_protection+consequence:reciprocal_relation+continuity:care_succession_agency+continuity:public_review_dissent+correction:protection_appeal+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:relational_experience+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+locus:relational+operation:care_development+operation:justice_protection
X102,D01;D02;D03;D04;D05,D3,U02,3,20,0,4,15,X01;X02;X04,S02;S03;S04,no,U02=consequence:care_development+consequence:justice_protection+continuity:care_succession_agency+continuity:public_review_dissent+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:care_development+endpoint:justice_protection+evaluator:affected_party+evidence_req:affected_party_voice
X103,D01;D02;D03;D04;D05,D3,U03;U04,10,6,16,17,11,X01;X02;X03;X04,S01;S04;S05,no,U03=consequence:aesthetic_affinity+consequence:bodily_health+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+false_positive:material_sensory_proxy+locus:embodied_person+operation:aesthetic_affinity | U04=consequence:material_provision+continuity:skill_tools_maintenance+counterpart:material_ecological+development:material_access+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+expression:material_means+locus:material_ecological+operation:material_provision
X104,D01;D02;D03;D04;D05,D3,U04;U05,11,5,7,18,17,X01;X02;X03;X04,S01;S04;S05,yes,U04=consequence:material_provision+continuity:skill_tools_maintenance+correction:redesign_procedure+counterpart:material_ecological+development:material_access+development:practice_skill+endpoint:material_provision+endpoint:skill_design+evaluator:skilled_peer+expression:material_means+locus:material_ecological+operation:material_provision | U05=consequence:collective_public+consequence:continuity_transmission+correction:repair_restitution+counterpart:collective+development:material_access+endpoint:collective_public+endpoint:continuity_transmission+evaluator:affected_party+evidence_req:affected_party_voice+expression:consequence_visibility+operation:continuity_transmission
X105,D01;D02;D03;D04;D05,D3,U03;U04,10,4,19,16,4,X01;X03;X04,S01;S02;S03;S04;S05,no,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+locus:embodied_person+operation:aesthetic_affinity+operation:bodily_health | U04=consequence:material_provision+correction:retraining_changed_means+counterpart:material_ecological+development:material_access+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+locus:material_ecological
X106,D01;D02;D03;D04;D05,D3,U02;U04;U05,7,19,15,22,22,X02;X03;X04;X05,S01;S02;S03;S04;S05,yes,U02=consequence:care_development+consequence:reciprocal_relation+continuity:care_succession_agency+continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:care_development+endpoint:reciprocal_relation+evaluator:affected_party+evidence_req:affected_party_voice+locus:relational | U04=consequence:material_provision+continuity:ecological_regeneration+continuity:skill_tools_maintenance+correction:redesign_procedure+counterpart:material_ecological+development:material_access+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:future_ecological+evaluator:skilled_peer+evidence_req:bodily_material_effect+evidence_req:long_horizon_effect+expression:material_means+locus:material_ecological | U05=consequence:continuity_transmission+continuity:ecological_regeneration+continuity:public_review_dissent+continuity:reserve_reliable_provision+correction:repair_restitution+counterpart:collective+counterpart:durable+development:material_access+endpoint:collective_public+endpoint:continuity_transmission+evaluator:affected_party+evaluator:future_ecological+evidence_req:affected_party_voice+evidence_req:long_horizon_effect+false_positive:short_term_satisfaction_proxy
X107,D01;D02;D03;D04;D05,D3,U03,12,4,21,12,6,X01;X03;X04,S01;S02;S03;S04;S05,no,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+expression:embodied_capability+false_positive:material_sensory_proxy+locus:embodied_person+operation:aesthetic_affinity+operation:bodily_health
X108,D01;D02;D03;D04;D05,D3,U03;U04,3,11,18,19,7,X01;X02;X03;X04;X05,S02;S03;S04;S05,yes,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+expression:embodied_capability+false_positive:material_sensory_proxy+operation:aesthetic_affinity | U04=consequence:ecological_continuity+consequence:material_provision+continuity:ecological_regeneration+counterpart:material_ecological+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+expression:material_means+false_positive:output_efficiency_proxy+locus:material_ecological
X109,D01;D02;D03;D04;D05,D3,U03;U04,12,4,20,14,6,X01;X03;X04,S01;S02;S03;S04;S05,no,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+expression:embodied_capability+locus:embodied_person+operation:aesthetic_affinity+operation:bodily_health | U04=consequence:material_provision+correction:redesign_procedure+counterpart:material_ecological+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+expression:material_means+locus:material_ecological
X110,D01;D02;D03;D04;D05,D3,U03;U04,4,11,17,18,9,X01;X02;X03;X04;X05,S02;S03;S04;S05,yes,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+false_positive:short_term_satisfaction_proxy+operation:aesthetic_affinity | U04=consequence:ecological_continuity+consequence:material_provision+continuity:ecological_regeneration+counterpart:material_ecological+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+expression:material_means+locus:material_ecological
X111,D01;D02;D03;D04;D05,D3,U03,12,4,22,12,7,X01;X03;X04;X05,S01;S02;S03;S04;S05,yes,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+expression:embodied_capability+false_positive:material_sensory_proxy+false_positive:short_term_satisfaction_proxy+locus:embodied_person+operation:aesthetic_affinity+operation:bodily_health
X112,D01;D02;D03;D04;D05,D3,U03;U04,3,11,18,19,8,X01;X02;X03;X04;X05,S02;S03;S04;S05,yes,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+false_positive:material_sensory_proxy+false_positive:short_term_satisfaction_proxy+operation:aesthetic_affinity | U04=consequence:ecological_continuity+consequence:material_provision+continuity:ecological_regeneration+counterpart:material_ecological+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+expression:material_means+false_positive:output_efficiency_proxy+locus:material_ecological
X113,D01;D02;D03;D04;D05,D3,U03,12,4,21,13,7,X01;X03;X04;X05,S01;S02;S03;S04;S05,no,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+expression:embodied_capability+false_positive:material_sensory_proxy+locus:embodied_person+operation:aesthetic_affinity+operation:bodily_health
X114,D01;D02;D03;D04;D05,D3,U03;U04,3,11,16,19,7,X01;X02;X03;X04;X05,S02;S03;S04;S05,yes,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+operation:aesthetic_affinity | U04=consequence:ecological_continuity+consequence:material_provision+continuity:ecological_regeneration+counterpart:material_ecological+endpoint:ecological_continuity+endpoint:material_provision+endpoint:skill_design+evaluator:body_material+evaluator:skilled_peer+evidence_req:bodily_material_effect+expression:material_means+false_positive:output_efficiency_proxy+locus:material_ecological
X115,D01;D02;D03;D04;D05,D3,U03,12,4,21,12,6,X01;X03;X04,S01;S02;S03;S04;S05,no,U03=consequence:aesthetic_affinity+consequence:bodily_health+correction:treatment_accommodation+development:bodily_capability+endpoint:aesthetic_affinity+endpoint:bodily_health+evaluator:body_material+evidence_req:bodily_material_effect+expression:embodied_capability+false_positive:material_sensory_proxy+locus:embodied_person+operation:aesthetic_affinity+operation:bodily_health
