anonymous_id,feature_01_entry_form,feature_02_ontological_locus,feature_03_operation_field,feature_04_consequence_field,feature_05_evidence_and_evaluators,feature_06_counterpart_and_topology,feature_07_internal_dependencies,feature_08_endpoint_and_provenance,feature_09_development_and_orientation,feature_10_expression_requirements,feature_11_evidence_requirements,feature_12_correction_and_protection,feature_13_continuity_and_transmission,feature_14_external_relations,feature_15_universality,feature_16_false_positive_and_open
X033,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:meaning_truth,consequence:unspecified,evaluator:counterpart;evaluator:first_person;evidence:material_provision;evidence:reciprocal_relation,counterpart:direct;counterpart:material_ecological;topology:b;topology:d;topology:e;topology:j,dependency:evaluation_discrimination;dependency:realised_orientation;dependency:selection_embodiment,endpoint:material_provision;endpoint:reciprocal_relation;provenance:d;provenance:i,development:feedback_critique,expression:consequence_visibility;expression:counterpart_participation,evidence_req:bodily_material_effect;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:redesign_procedure;correction:repair_restitution,continuity:public_review_dissent;continuity:relational_memory_repair;continuity:skill_tools_maintenance,relation:corr;relation:evid;relation:sust;scope:n_evd;scope:s_con;scope:s_cor,universality:u_h,false_positive:compliance_force_proxy;open:no
X034,entry:role_relation;residual:closed,locus:relational,operation:meaning_truth,consequence:care_development;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:counterpart;evaluator:skilled_peer;evidence:care_development;evidence:communication_representation;evidence:justice_protection,counterpart:collective;counterpart:direct;counterpart:durable;topology:b;topology:c;topology:d;topology:r;topology:t,dependency:selection_embodiment,endpoint:care_development;endpoint:communication_representation;endpoint:justice_protection;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:bodily_capability,expression:unspecified,evidence_req:competence_peer_review,correction:repair_restitution,continuity:care_succession_agency,relation:const;relation:corr;relation:prot;scope:n_cor;scope:n_occ,universality:u_h,false_positive:unspecified;open:no
X035,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:agency_action;operation:meaning_truth,consequence:agency_action;consequence:meaning_truth,evaluator:affected_party;evaluator:first_person;evidence:agency_action;evidence:collective_public,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:contemplative_design;dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:meaning_truth;provenance:d;provenance:i,development:feedback_critique;development:practice_skill,expression:embodied_capability;expression:material_means,evidence_req:affected_party_voice;evidence_req:self_noncontradiction,correction:ecological_restoration;correction:redesign_procedure;correction:repair_restitution,continuity:care_succession_agency;continuity:intergenerational_transmission,relation:corr;relation:enab;relation:sust;scope:n_exp;scope:s_con;scope:s_cor,universality:u_h,false_positive:compliance_force_proxy;false_positive:output_efficiency_proxy;open:no
X036,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:unspecified,consequence:agency_action,evaluator:affected_party;evaluator:first_person;evidence:agency_action;evidence:collective_public,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:realised_orientation;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;provenance:d;provenance:i,development:noncoercive_agency,expression:unspecified,evidence_req:affected_party_voice;evidence_req:self_noncontradiction,correction:protection_appeal;correction:repair_restitution,continuity:inquiry_records_verification;continuity:intergenerational_transmission,relation:enab;relation:evid;relation:prot;scope:n_evd;scope:s_cor;scope:s_exp,universality:u_h,false_positive:compliance_force_proxy;false_positive:private_state_proxy;open:no
X037,entry:inward_operation_orientation;residual:closed,locus:relational;locus:sentient_inward,operation:care_development;operation:inquiry_discrimination;operation:meaning_truth,consequence:agency_action;consequence:care_development;consequence:inquiry_discrimination;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:counterpart;evidence:agency_action;evidence:care_development;evidence:communication_representation;evidence:meaning_truth;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;topology:c;topology:d;topology:j;topology:r;topology:t,dependency:contemplative_design;dependency:realised_orientation,endpoint:agency_action;endpoint:care_development;endpoint:communication_representation;endpoint:inquiry_discrimination;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:noncoercive_agency;development:relational_experience,expression:counterpart_participation;expression:language_representation,evidence_req:unspecified,correction:protection_appeal,continuity:inquiry_records_verification;continuity:public_review_dissent;continuity:relational_memory_repair;continuity:skill_tools_maintenance,relation:corr;relation:evid;relation:trans;scope:n_evd;scope:s_con;scope:s_cor,universality:u_h,false_positive:unspecified;open:no
X038,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:unspecified,consequence:agency_action,evaluator:counterpart;evaluator:first_person;evidence:agency_action;evidence:meaning_truth;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:selection_embodiment,endpoint:agency_action;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:noncoercive_agency;development:practice_skill,expression:timing_discretion,evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:care_succession_agency;continuity:inquiry_records_verification;continuity:intergenerational_transmission;continuity:public_review_dissent,relation:evid;relation:prot;relation:trans;scope:n_evd;scope:s_con;scope:s_exp,universality:u_h,false_positive:compliance_force_proxy;open:no
X039,entry:inward_operation_orientation;residual:open,locus:relational;locus:sentient_inward,operation:unspecified,consequence:agency_action;consequence:reciprocal_relation,evaluator:affected_party;evaluator:first_person;evaluator:skilled_peer;evidence:aesthetic_affinity;evidence:agency_action;evidence:collective_public,counterpart:collective;counterpart:direct;counterpart:durable;topology:c;topology:d;topology:j;topology:r;topology:t,dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:aesthetic_affinity;endpoint:agency_action;endpoint:collective_public;endpoint:reciprocal_relation;provenance:d;provenance:o,development:feedback_critique;development:material_access;development:noncoercive_agency,expression:unspecified,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:inquiry_records_verification;continuity:public_review_dissent,relation:evid;relation:prot;scope:n_cor;scope:n_evd,universality:u_h,false_positive:authority_status_proxy;open:yes
X040,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:agency_action,consequence:agency_action;consequence:reciprocal_relation,evaluator:counterpart;evaluator:first_person;evidence:agency_action;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j,dependency:evaluation_discrimination,endpoint:agency_action;endpoint:reciprocal_relation;provenance:d;provenance:i,development:unspecified,expression:language_representation;expression:material_means,evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:redesign_procedure;correction:repair_restitution,continuity:intergenerational_transmission,relation:enab;relation:evid;scope:n_evd;scope:s_exp,universality:u_h,false_positive:compliance_force_proxy;open:no
X041,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:relational,operation:communication_representation;operation:meaning_truth,consequence:agency_action;consequence:communication_representation;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:affected_party;evaluator:counterpart;evidence:agency_action;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;topology:c;topology:d;topology:r;topology:t,dependency:evaluation_discrimination;dependency:relational_feedback;dependency:selection_embodiment,endpoint:agency_action;endpoint:communication_representation;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:continuity_exposure,expression:language_representation,evidence_req:affected_party_voice;evidence_req:reciprocal_fulfilment,correction:dialogue_changed_fulfilment;correction:protection_appeal;correction:repair_restitution,continuity:care_succession_agency;continuity:relational_memory_repair,relation:const;relation:corr;relation:evid;scope:n_cor;scope:n_evd;scope:n_occ,universality:u_h,false_positive:care_control_proxy;false_positive:compliance_force_proxy;open:no
X042,entry:inward_operation_orientation;residual:closed,locus:relational,operation:unspecified,consequence:agency_action,evaluator:affected_party;evidence:agency_action;evidence:collective_public,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:r;topology:t,dependency:contemplative_design;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;provenance:d;provenance:i,development:feedback_critique;development:practice_skill,expression:consequence_visibility;expression:language_representation;expression:material_means,evidence_req:affected_party_voice,correction:protection_appeal;correction:redesign_procedure;correction:repair_restitution;correction:retraining_changed_means,continuity:care_succession_agency;continuity:inquiry_records_verification;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:const;relation:enab;relation:sust;scope:n_exp;scope:s_con,universality:u_h,false_positive:compliance_force_proxy;false_positive:output_efficiency_proxy;open:no
X043,entry:inward_operation_orientation;residual:open,locus:sentient_inward,operation:inquiry_discrimination,consequence:agency_action;consequence:inquiry_discrimination,evaluator:first_person;evidence:agency_action;evidence:material_provision;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:realised_orientation,endpoint:agency_action;endpoint:inquiry_discrimination;endpoint:material_provision;endpoint:reciprocal_relation;provenance:d;provenance:i;provenance:o,development:continuity_exposure;development:feedback_critique;development:material_access,expression:unspecified,evidence_req:self_noncontradiction,correction:unspecified,continuity:inquiry_records_verification;continuity:public_review_dissent;continuity:reserve_reliable_provision,relation:corr;relation:evid;relation:trans;scope:n_cor;scope:n_evd;scope:s_con,universality:u_h,false_positive:unspecified;open:yes
X044,entry:inward_operation_orientation;residual:open,locus:material_ecological;locus:sentient_inward,operation:inquiry_discrimination,consequence:agency_action;consequence:ecological_continuity;consequence:inquiry_discrimination,evaluator:affected_party;evaluator:first_person;evaluator:skilled_peer;evidence:agency_action;evidence:collective_public;evidence:continuity_transmission;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:contemplative_design;dependency:realised_orientation,endpoint:agency_action;endpoint:collective_public;endpoint:continuity_transmission;endpoint:ecological_continuity;endpoint:inquiry_discrimination;endpoint:meaning_truth;provenance:d;provenance:i;provenance:o,development:noncoercive_agency;development:open_inquiry,expression:counterpart_participation,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:long_horizon_effect;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:intergenerational_transmission,relation:corr;relation:evid;scope:n_cor;scope:n_evd,universality:u_h,false_positive:unspecified;open:yes
X045,entry:inward_operation_orientation;residual:closed,locus:relational;locus:sentient_inward,operation:agency_action;operation:reciprocal_relation,consequence:agency_action;consequence:reciprocal_relation,evaluator:affected_party;evaluator:counterpart;evaluator:skilled_peer;evidence:collective_public;evidence:reciprocal_relation;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:durable;topology:c;topology:d;topology:j;topology:r;topology:t,dependency:accepted_meaning;dependency:relational_feedback;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:reciprocal_relation;endpoint:skill_design;provenance:d;provenance:i,development:open_inquiry;development:relational_experience,expression:language_representation;expression:timing_discretion,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:reciprocal_fulfilment,correction:dialogue_changed_fulfilment;correction:protection_appeal;correction:repair_restitution,continuity:relational_memory_repair,relation:const;relation:corr;relation:evid;scope:n_cor;scope:n_evd;scope:n_occ,universality:u_h,false_positive:compliance_force_proxy;open:no
X046,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:agency_action;operation:justice_protection;operation:meaning_truth,consequence:agency_action;consequence:collective_public;consequence:ecological_continuity;consequence:justice_protection;consequence:meaning_truth,evaluator:affected_party;evaluator:counterpart;evaluator:first_person;evaluator:future_ecological;evidence:collective_public;evidence:ecological_continuity;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:realised_orientation;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:ecological_continuity;endpoint:justice_protection;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:continuity_exposure;development:feedback_critique;development:material_access,expression:embodied_capability;expression:material_means,evidence_req:affected_party_voice;evidence_req:long_horizon_effect;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:intergenerational_transmission,relation:const;relation:corr;relation:evid;scope:n_cor;scope:n_evd;scope:n_exp,universality:u_h,false_positive:unspecified;open:no
X047,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:agency_action,consequence:unspecified,evaluator:affected_party;evaluator:first_person;evidence:agency_action;evidence:collective_public;evidence:inquiry_discrimination;evidence:meaning_truth,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:contemplative_design;dependency:selection_embodiment,endpoint:collective_public;endpoint:inquiry_discrimination;endpoint:meaning_truth;provenance:d;provenance:i,development:noncoercive_agency;development:open_inquiry,expression:consequence_visibility,evidence_req:affected_party_voice;evidence_req:self_noncontradiction,correction:unspecified,continuity:inquiry_records_verification,relation:evid;relation:prot;scope:n_evd;scope:s_cor,universality:u_h,false_positive:material_sensory_proxy;open:no
X048,entry:inward_operation_orientation;residual:closed,locus:embodied_person,operation:unspecified,consequence:agency_action,evaluator:affected_party;evaluator:first_person;evidence:agency_action;evidence:collective_public;evidence:justice_protection,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:justice_protection;provenance:d;provenance:i,development:practice_skill,expression:embodied_capability,evidence_req:affected_party_voice;evidence_req:self_noncontradiction,correction:protection_appeal;correction:repair_restitution,continuity:inquiry_records_verification;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:enab;relation:prot;relation:sust;scope:n_exp;scope:s_con;scope:s_cor,universality:u_h,false_positive:compliance_force_proxy;open:no
X049,entry:inward_operation_orientation;residual:closed,locus:embodied_person,operation:unspecified,consequence:agency_action,evaluator:affected_party;evaluator:counterpart;evaluator:first_person;evaluator:future_ecological;evidence:agency_action;evidence:collective_public;evidence:ecological_continuity;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:realised_orientation;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:ecological_continuity;endpoint:reciprocal_relation;provenance:d;provenance:i,development:bodily_capability;development:feedback_critique;development:relational_experience,expression:counterpart_participation;expression:language_representation,evidence_req:affected_party_voice;evidence_req:long_horizon_effect;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:reserve_reliable_provision,relation:corr;relation:enab;relation:evid;scope:n_evd;scope:s_con;scope:s_cor,universality:u_h,false_positive:material_sensory_proxy;open:no
X050,entry:inward_operation_orientation;residual:closed,locus:embodied_person,operation:agency_action,consequence:agency_action,evaluator:affected_party;evidence:collective_public;evidence:justice_protection,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:accepted_meaning,endpoint:agency_action;endpoint:collective_public;endpoint:justice_protection;provenance:d;provenance:i,development:feedback_critique;development:noncoercive_agency;development:relational_experience,expression:counterpart_participation;expression:embodied_capability;expression:material_means,evidence_req:affected_party_voice,correction:repair_restitution,continuity:care_succession_agency;continuity:intergenerational_transmission,relation:const;relation:evid;relation:sust;scope:n_con;scope:n_evd;scope:n_exp,universality:u_h,false_positive:output_efficiency_proxy;open:no
X051,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:justice_protection,consequence:care_development;consequence:justice_protection;consequence:reciprocal_relation,evaluator:skilled_peer;evidence:care_development;evidence:justice_protection;evidence:material_provision,counterpart:collective;counterpart:direct;counterpart:durable;topology:b;topology:c;topology:d;topology:j;topology:r;topology:t,dependency:selection_embodiment,endpoint:care_development;endpoint:justice_protection;endpoint:material_provision;endpoint:reciprocal_relation;provenance:d;provenance:i,development:practice_skill,expression:material_means,evidence_req:competence_peer_review,correction:repair_restitution,continuity:care_succession_agency;continuity:intergenerational_transmission;continuity:public_review_dissent;continuity:reserve_reliable_provision;continuity:skill_tools_maintenance,relation:const;relation:corr;relation:enab;scope:n_cor;scope:n_exp;scope:n_occ,universality:u_h,false_positive:unspecified;open:no
X052,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:justice_protection,consequence:agency_action;consequence:justice_protection,evaluator:affected_party;evidence:agency_action;evidence:care_development;evidence:collective_public;evidence:justice_protection,counterpart:collective;counterpart:direct;counterpart:durable;topology:b;topology:c;topology:d;topology:j;topology:r;topology:t,dependency:selection_embodiment,endpoint:agency_action;endpoint:care_development;endpoint:collective_public;endpoint:justice_protection;provenance:d;provenance:i,development:continuity_exposure;development:noncoercive_agency,expression:unspecified,evidence_req:affected_party_voice,correction:unspecified,continuity:care_succession_agency;continuity:inquiry_records_verification;continuity:public_review_dissent,relation:corr;relation:evid;relation:prot;scope:n_cor;scope:n_evd;scope:s_con,universality:u_h,false_positive:unspecified;open:no
X053,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:agency_action;operation:inquiry_discrimination,consequence:agency_action;consequence:inquiry_discrimination;consequence:reciprocal_relation,evaluator:affected_party;evaluator:future_ecological;evaluator:skilled_peer;evidence:agency_action;evidence:ecological_continuity;evidence:material_provision;evidence:meaning_truth;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:accepted_meaning;dependency:realised_orientation,endpoint:agency_action;endpoint:ecological_continuity;endpoint:inquiry_discrimination;endpoint:material_provision;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:feedback_critique;development:relational_experience,expression:counterpart_participation,evidence_req:affected_party_voice;evidence_req:bodily_material_effect;evidence_req:competence_peer_review;evidence_req:long_horizon_effect,correction:unspecified,continuity:relational_memory_repair;continuity:skill_tools_maintenance,relation:const;relation:evid;relation:trans;scope:n_evd;scope:n_occ;scope:s_con,universality:u_h,false_positive:unspecified;open:no
X054,entry:inward_operation_orientation;residual:open,locus:embodied_person,operation:meaning_truth,consequence:meaning_truth,evaluator:affected_party;evidence:collective_public,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:t,dependency:contemplative_design;dependency:relational_feedback;dependency:selection_embodiment,endpoint:collective_public;endpoint:meaning_truth;provenance:d;provenance:i;provenance:o,development:unspecified,expression:material_means,evidence_req:affected_party_voice,correction:protection_appeal;correction:repair_restitution,continuity:public_review_dissent;continuity:skill_tools_maintenance,relation:const;relation:corr;scope:n_cor;scope:n_exp,universality:u_h,false_positive:output_efficiency_proxy;open:yes
X055,entry:inward_operation_orientation;residual:open,locus:material_ecological;locus:sentient_inward,operation:aesthetic_affinity;operation:ecological_continuity;operation:inquiry_discrimination,consequence:aesthetic_affinity;consequence:ecological_continuity;consequence:inquiry_discrimination,evaluator:affected_party;evaluator:skilled_peer;evidence:collective_public;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:realised_orientation,endpoint:aesthetic_affinity;endpoint:collective_public;endpoint:ecological_continuity;endpoint:inquiry_discrimination;endpoint:skill_design;provenance:d;provenance:i;provenance:o,development:material_access,expression:unspecified,evidence_req:affected_party_voice;evidence_req:competence_peer_review,correction:repair_restitution,continuity:unspecified,relation:corr;relation:evid;scope:n_cor;scope:n_evd,universality:u_h,false_positive:unspecified;open:yes
X056,entry:inward_operation_orientation;residual:open,locus:sentient_inward;locus:temporal,operation:inquiry_discrimination,consequence:continuity_transmission;consequence:inquiry_discrimination,evaluator:unspecified;evidence:communication_representation;evidence:continuity_transmission,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:contemplative_design;dependency:selection_embodiment,endpoint:communication_representation;endpoint:continuity_transmission;endpoint:inquiry_discrimination;provenance:d;provenance:i;provenance:o,development:continuity_exposure;development:practice_skill,expression:unspecified,evidence_req:unspecified,correction:unspecified,continuity:inquiry_records_verification;continuity:intergenerational_transmission,relation:evid;relation:sust;scope:n_evd;scope:s_con,universality:u_h,false_positive:unspecified;open:yes
X057,entry:inward_operation_orientation;residual:closed,locus:collective_public;locus:embodied_person;locus:sentient_inward,operation:agency_action;operation:collective_public;operation:ecological_continuity;operation:material_provision;operation:meaning_truth;operation:reciprocal_relation,consequence:agency_action;consequence:collective_public;consequence:ecological_continuity;consequence:material_provision;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:affected_party;evaluator:first_person;evaluator:future_ecological;evidence:collective_public;evidence:ecological_continuity;evidence:material_provision;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:accepted_meaning;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:ecological_continuity;endpoint:material_provision;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:practice_skill;development:relational_experience,expression:consequence_visibility;expression:counterpart_participation;expression:material_means;expression:timing_discretion,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:long_horizon_effect;evidence_req:self_noncontradiction,correction:dialogue_changed_fulfilment,continuity:public_review_dissent;continuity:reserve_reliable_provision;continuity:skill_tools_maintenance,relation:const;relation:evid;relation:sust;scope:n_con;scope:n_evd,universality:u_h,false_positive:unspecified;open:no
X058,entry:inward_operation_orientation;residual:closed,locus:unspecified,operation:continuity_transmission;operation:inquiry_discrimination,consequence:continuity_transmission;consequence:inquiry_discrimination,evaluator:body_material;evidence:agency_action;evidence:bodily_health;evidence:care_development;evidence:material_provision,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:realised_orientation;dependency:selection_embodiment,endpoint:agency_action;endpoint:bodily_health;endpoint:care_development;endpoint:continuity_transmission;endpoint:inquiry_discrimination;endpoint:material_provision;provenance:d;provenance:i,development:continuity_exposure;development:noncoercive_agency;development:open_inquiry;development:practice_skill;development:relational_experience,expression:consequence_visibility;expression:language_representation;expression:material_means,evidence_req:bodily_material_effect,correction:redesign_procedure;correction:repair_restitution,continuity:care_succession_agency;continuity:ecological_regeneration;continuity:intergenerational_transmission;continuity:public_review_dissent,relation:corr;relation:evid;relation:sust;scope:n_con;scope:n_cor;scope:n_evd,universality:u_h,false_positive:unspecified;open:no
X059,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:communication_representation,consequence:agency_action;consequence:communication_representation;consequence:meaning_truth,evaluator:first_person;evaluator:skilled_peer;evidence:agency_action;evidence:meaning_truth,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:accepted_meaning;dependency:realised_orientation;dependency:selection_embodiment,endpoint:agency_action;endpoint:communication_representation;endpoint:meaning_truth;provenance:d;provenance:i,development:noncoercive_agency;development:open_inquiry;development:practice_skill,expression:consequence_visibility;expression:counterpart_participation;expression:embodied_capability;expression:material_means;expression:timing_discretion,evidence_req:competence_peer_review;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:inquiry_records_verification;continuity:skill_tools_maintenance,relation:enab;relation:evid;relation:prot;scope:n_cor;scope:n_evd;scope:s_exp,universality:u_h,false_positive:care_control_proxy;false_positive:compliance_force_proxy;open:no
X060,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:agency_action;operation:meaning_truth,consequence:unspecified,evaluator:counterpart;evaluator:first_person;evaluator:skilled_peer;evidence:agency_action;evidence:reciprocal_relation,counterpart:direct;topology:b;topology:d;topology:j;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination,endpoint:agency_action;endpoint:reciprocal_relation;provenance:d;provenance:i,development:feedback_critique;development:noncoercive_agency;development:open_inquiry,expression:consequence_visibility;expression:counterpart_participation;expression:embodied_capability,evidence_req:competence_peer_review;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:protection_appeal,continuity:care_succession_agency;continuity:public_review_dissent;continuity:skill_tools_maintenance,relation:enab;relation:evid;relation:prot;scope:n_cor;scope:n_evd;scope:s_con,universality:u_h,false_positive:authority_status_proxy;open:no
X061,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:aesthetic_affinity;operation:care_development;operation:justice_protection,consequence:aesthetic_affinity;consequence:care_development;consequence:continuity_transmission;consequence:justice_protection;consequence:reciprocal_relation,evaluator:skilled_peer;evidence:care_development;evidence:continuity_transmission;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:r;topology:t,dependency:relational_feedback;dependency:selection_embodiment,endpoint:aesthetic_affinity;endpoint:care_development;endpoint:continuity_transmission;endpoint:justice_protection;endpoint:reciprocal_relation;endpoint:skill_design;provenance:d;provenance:i,development:bodily_capability;development:feedback_critique;development:noncoercive_agency;development:relational_experience,expression:embodied_capability;expression:material_means;expression:timing_discretion,evidence_req:competence_peer_review,correction:protection_appeal;correction:repair_restitution,continuity:care_succession_agency;continuity:intergenerational_transmission,relation:const;relation:prot;relation:sust;scope:n_con;scope:n_cor;scope:n_occ,universality:u_h,false_positive:care_control_proxy;open:no
X062,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:bodily_health;operation:material_provision,consequence:bodily_health;consequence:material_provision;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:affected_party;evaluator:counterpart;evidence:bodily_health;evidence:care_development;evidence:communication_representation;evidence:material_provision;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:r;topology:t,dependency:unspecified,endpoint:bodily_health;endpoint:care_development;endpoint:communication_representation;endpoint:material_provision;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:practice_skill,expression:counterpart_participation;expression:material_means,evidence_req:affected_party_voice,correction:redesign_procedure,continuity:relational_memory_repair,relation:const;relation:evid;relation:sust;scope:n_evd;scope:n_exp;scope:s_con,universality:u_h,false_positive:care_control_proxy;false_positive:verbal_display_proxy;open:no
X063,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:inquiry_discrimination;operation:reciprocal_relation,consequence:agency_action;consequence:inquiry_discrimination;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:skilled_peer;evidence:aesthetic_affinity;evidence:agency_action;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:durable;topology:c;topology:d;topology:r;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:realised_orientation;dependency:relational_feedback;dependency:selection_embodiment,endpoint:aesthetic_affinity;endpoint:agency_action;endpoint:inquiry_discrimination;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:unspecified,expression:language_representation,evidence_req:competence_peer_review,correction:repair_restitution,continuity:public_review_dissent,relation:const;relation:corr;relation:evid;scope:n_evd;scope:s_cor,universality:u_h,false_positive:authority_status_proxy;open:no
